IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
38846.70556,41515,,38846.70556,23.78,,36528.70556,0.88,,38800.99861,2.1547
38847.70556,41979,,38847.70556,24.08,,36529.70556,0.85,,38803.99861,2.1503
38848.70556,41751,,38848.70556,23.98,,36530.70556,0.85,,38804.99861,2.1677
38849.70556,40847,,38849.70556,23.68,,36531.70556,0.85,,38805.99861,2.2206
38852.70556,40211,,38852.70556,23.45,,36532.70556,0.89,,38806.99861,2.1922
38853.70556,39271,,38853.70556,22.85,,36535.70556,0.96,,38807.99861,2.1672
38854.70556,39416,,38854.70556,23,,36536.70556,0.96,,38810.99861,2.1479
38860.70556,36496,,38860.70556,21.5,,36537.70556,0.97,,38811.99861,2.1255
38861.70556,36110,,38861.70556,21.25,,36538.70556,1,,38812.99861,2.1336
38862.70556,35791,,38862.70556,21.45,,36539.70556,1.02,,38813.99861,2.1292
38863.70556,37568,,38863.70556,21.72,,36542.70556,1.04,,38814.99861,2.1352
38867.70556,38145,,38867.70556,22.38,,36543.70556,1.01,,38817.99861,2.1439
38868.70556,36412,,38868.70556,21.8,,36544.70556,1.01,,38818.99861,2.137
38869.70556,36530,,38869.70556,22,,36545.70556,1,,38819.99861,2.1315
38870.70556,37748,,38870.70556,22.1,,36546.70556,0.98,,38820.99861,2.1407
38873.70556,37942,,38873.70556,22.34,,36549.70556,1,,38821.99861,2.139769
38874.70556,36739,,38874.70556,21.51,,36551.70556,0.99,,38824.99861,2.136158
38875.70556,36557,,38875.70556,21.28,,36552.70556,1,,38825.99861,2.1275
38876.70556,35264,,38876.70556,20.27,,36553.70556,1,,38826.99861,2.1145
38877.70556,35437,,38877.70556,20.15,,36557.70556,0.98,,38827.99861,2.118
38880.70556,35074,,38880.70556,19.69,,36558.70556,0.94,,38828.99861,2.118
38881.70556,33554,,38881.70556,19,,36559.70556,0.94,,38831.99861,2.1147
38882.70556,32847,,38882.70556,18.25,,36560.70556,0.97,,38832.99861,2.1153
38884.70556,32941,,38884.70556,19.05,,36563.70556,1.02,,38833.99861,2.1187
38887.70556,34398,,38887.70556,20.15,,36564.70556,1.08,,38834.99861,2.1026
38888.70556,33897,,38888.70556,19.66,,36565.70556,1.06,,38835.99861,2.0937
38889.70556,33632,,38889.70556,19.65,,36566.70556,1,,38838.99861,2.092181
38890.70556,34546,,38890.70556,20.21,,36567.70556,0.95,,38839.99861,2.0688
38891.70556,34316,,38891.70556,20.18,,36570.70556,0.94,,38840.99861,2.0679
38895.70556,34631,,38895.70556,20.52,,36571.70556,0.96,,38841.99861,2.0626
38896.70556,34375,,38896.70556,20.31,,36572.70556,0.96,,38842.99861,2.057
38897.70556,34834,,38897.70556,20.7,,36573.70556,0.94,,38845.99861,2.0472
38898.70556,36486,,38898.70556,21.5,,36574.70556,0.94,,38846.99861,2.057
38901.70556,36630,,38901.70556,21.59,,36577.70556,0.94,,38847.99861,2.0516
38902.70556,37357,,38902.70556,21.8,,36578.70556,0.92,,38848.99861,2.0877
38903.70556,37367,,38903.70556,21.71,,36579.70556,0.94,,38849.99861,2.1346
38904.70556,36378,,38904.70556,21.4,,36580.70556,0.93,,38852.99861,2.1642
38905.70556,36533,,38905.70556,21.58,,36581.70556,0.92,,38853.99861,2.1421
38908.70556,36101,,38908.70556,21.4,,36584.70556,0.9,,38854.99861,2.183
38909.70556,36140,,38909.70556,21.31,,36585.70556,0.85,,38855.99861,2.202
38910.70556,36553,,38910.70556,21.9,,36586.70556,0.85,,38856.99861,2.197
38911.70556,36229,,38911.70556,21.91,,36587.70556,0.83,,38859.99861,2.2968
38912.70556,35354,,38912.70556,21.8,,36588.70556,0.82,,38860.99861,2.2495
38916.70556,34925,,38916.70556,21.18,,36593.70556,0.83,,38861.99861,2.3575
38917.70556,35130,,38917.70556,21.18,,36594.70556,0.81,,38862.99861,2.3575
38919.70556,35846,,38919.70556,21.18,,36595.70556,0.79,,38863.99861,2.2555
38922.70556,35510,,38922.70556,21,,36599.70556,0.75,,38866.99861,2.2385
38926.70556,36887,,38926.70556,22.37,,36600.70556,0.75,,38867.99861,2.3085
38929.70556,37381,,38929.70556,22.55,,36601.70556,0.76,,38868.99861,2.2972
38930.70556,37077,,38930.70556,22.45,,36602.70556,0.76,,38869.99861,2.2672
38931.70556,36839,,38931.70556,22.51,,36605.70556,0.71,,38870.99861,2.2823
38932.70556,37288,,38932.70556,22.85,,36606.70556,0.73,,38873.99861,2.2823
38933.70556,37451,,38933.70556,22.96,,36607.70556,0.74,,38874.99861,2.267
38936.70556,37847,,38936.70556,22.85,,36608.70556,0.76,,38875.99861,2.2565
38937.70556,37697,,38937.70556,23.13,,36609.70556,0.8,,38876.99861,2.283
38938.70556,37600,,38938.70556,23.1,,36612.70556,0.82,,38877.99861,2.26
38939.70556,37255,,38939.70556,22.93,,36613.70556,0.8,,38880.99861,2.2615
38943.70556,36944,,38943.70556,22.7,,36614.70556,0.81,,38881.99861,2.289
38944.70556,36556,,38944.70556,22.16,,36615.70556,0.81,,38882.99861,2.2815
38945.70556,37295,,38945.70556,22.6,,36616.70556,0.83,,38883.99861,2.2585
38946.70556,37677,,38946.70556,22.65,,36619.70556,0.85,,38884.99861,2.2468
38947.70556,37558,,38947.70556,22.18,,36620.70556,0.81,,38887.99861,2.231
38950.70556,37551,,38950.70556,22.45,,36621.70556,0.84,,38888.99861,2.2381
38951.70556,37160,,38951.70556,22.18,,36622.70556,0.85,,38889.99861,2.238
38952.70556,36677,,38952.70556,22.13,,36623.70556,0.84,,38890.99861,2.2305
38953.70556,35512,,38953.70556,21.43,,36626.70556,0.83,,38891.99861,2.2445
38954.70556,35797,,38954.70556,21.65,,36627.70556,0.83,,38894.99861,2.2252
38957.70556,35957,,38957.70556,21.95,,36629.70556,0.81,,38895.99861,2.227
38958.70556,36374,,38958.70556,21.83,,36630.70556,0.77,,38896.99861,2.2245
38959.70556,36303,,38959.70556,21.58,,36633.70556,0.75,,38897.99861,2.2028
38960.70556,36313,,38960.70556,21.55,,36634.70556,0.75,,38898.99861,2.1615
38961.70556,36232,,38961.70556,21.5,,36635.70556,0.73,,38901.99861,2.157
38964.70556,37329,,38964.70556,21.94,,36636.70556,0.77,,38902.99861,2.1635
38965.70556,37693,,38965.70556,22.09,,36640.70556,0.76,,38903.99861,2.1885
38966.70556,37367,,38966.70556,21.81,,36641.70556,0.79,,38904.99861,2.179
38968.70556,36709,,38968.70556,21.18,,36642.70556,0.83,,38905.99861,2.1673
38971.70556,35772,,38971.70556,19.89,,36643.70556,0.81,,38908.99861,2.1677
38972.70556,36146,,38972.70556,19.9,,36644.70556,0.83,,38909.99861,2.1795
38974.70556,36153,,38974.70556,19.85,,36648.70556,0.84,,38910.99861,2.1855
38975.70556,36169,,38975.70556,19.68,,36649.70556,0.83,,38911.99861,2.204
38978.70556,36482,,38978.70556,20.31,,36650.70556,0.82,,38912.99861,2.2066
38979.70556,35885,,38979.70556,19.86,,36651.70556,0.83,,38915.99861,2.2097
38981.70556,35196,,38981.70556,19.34,,36654.70556,0.82,,38916.99861,2.1941
38982.70556,34830,,38982.70556,19.27,,36655.70556,0.81,,38917.99861,2.1885
38986.70556,34972,,38986.70556,19.24,,36656.70556,0.83,,38918.99861,2.1812
38987.70556,35818,,38987.70556,19.58,,36657.70556,0.81,,38919.99861,2.1884
38988.70556,36105,,38988.70556,20,,36658.70556,0.8,,38922.99861,2.1866
38989.70556,36486,,38989.70556,20.28,,36661.70556,0.81,,38923.99861,2.1981
38993.70556,36437,,38993.70556,19.45,,36662.70556,0.83,,38924.99861,2.2032
38994.70556,37749,,38994.70556,20.05,,36663.70556,0.85,,38925.99861,2.1841
38995.70556,37976,,38995.70556,20.04,,36664.70556,0.86,,38926.99861,2.1756
38996.70556,37940,,38996.70556,20.11,,36665.70556,0.89,,38929.99861,2.172
38999.70556,38406,,38999.70556,20.45,,36668.70556,0.86,,38930.99861,2.1845
39000.70556,38654,,39000.70556,20.51,,36669.70556,0.82,,38931.99861,2.1744
